student_id,attendance_ratio,avg_checkin_hour,checkin_variance,consecutive_absent_days,attendance_change
S01,0.88,9.2,0.4,1,0.05
S02,0.91,9.0,0.3,0,0.02
S03,0.85,9.4,0.6,2,0.03
S04,0.92,9.1,0.2,0,0.01
S05,0.87,9.3,0.5,1,0.04
S06,0.90,9.0,0.3,0,0.02
S07,0.89,9.2,0.4,1,0.03
S08,0.86,9.5,0.7,2,0.05
S09,0.93,9.1,0.2,0,0.01
S10,0.84,9.6,0.8,3,0.06
S11,0.99,9.0,0.05,0,0.01
S12,1.00,9.0,0.03,0,0.00
S13,0.98,9.0,0.04,0,0.01
S14,0.42,11.5,2.8,7,0.40
S15,0.45,11.8,3.1,6,0.38
S16,0.40,12.0,3.5,8,0.42
S17,0.70,8.2,1.5,4,0.20
S18,0.72,8.0,1.6,3,0.18
S19,0.68,8.3,1.4,5,0.22
S20,0.95,9.0,0.1,0,0.02
S21,0.96,9.0,0.1,0,0.02
S22,0.55,10.5,2.0,6,0.30
S23,0.58,10.7,2.2,5,0.28
S24,0.80,9.8,0.9,2,0.08
S25,0.82,9.7,1.0,2,0.07
S26,0.78,9.9,1.1,3,0.09
S27,0.35,12.5,4.0,10,0.50
S28,0.33,12.8,4.2,9,0.48
S29,0.90,9.1,0.3,0,0.02
S30,0.88,9.2,0.4,1,0.03
